"AGE","POP","D_1","D_1_PERC","D_2","D_2_PERC","TOTAL","DATE"
"00-15",881538,0,0,0,0,0,2021-04-25
"16-19",206988,7934,3.8,703,0.3,8637,2021-04-25
"20-24",276991,22297,8,4365,1.6,26662,2021-04-25
"25-29",310735,32596,10.5,8590,2.8,41186,2021-04-25
"30-34",356322,42014,11.8,10483,2.9,52497,2021-04-25
"35-39",366699,50091,13.7,11589,3.2,61680,2021-04-25
"40-44",325544,74892,23,10815,3.3,85707,2021-04-25
"45-49",291312,74955,25.7,10227,3.5,85182,2021-04-25
"50-54",262948,79811,30.4,9113,3.5,88924,2021-04-25
"55-59",285387,117453,41.2,9165,3.2,126618,2021-04-25
"60-64",271707,148057,54.5,9736,3.6,157793,2021-04-25
"65-69",217596,159791,73.4,7070,3.2,166861,2021-04-25
"70-74",166506,128360,77.1,18468,11.1,146828,2021-04-25
"75-79",107003,86532,80.9,66890,62.5,153422,2021-04-25
"80-84",69877,58076,83.1,45907,65.7,103983,2021-04-25
"85-89",44852,37526,83.7,30547,68.1,68073,2021-04-25
"90+",28637,24174,84.4,20615,72,44789,2021-04-25
"Unknown",NA,340,0,6,0,346,2021-04-25
"ALL",4470643,1144899,25.6,274289,6.1,1419188,2021-04-25
"00-15",881538,0,0,0,0,0,2021-04-26
"16-19",206988,8278,4,711,0.3,8989,2021-04-26
"20-24",276991,23118,8.3,4384,1.6,27502,2021-04-26
"25-29",310735,33583,10.8,8627,2.8,42210,2021-04-26
"30-34",356322,43232,12.1,10532,3,53764,2021-04-26
"35-39",366699,52043,14.2,11639,3.2,63682,2021-04-26
"40-44",325544,80173,24.6,10875,3.3,91048,2021-04-26
"45-49",291312,80036,27.5,10285,3.5,90321,2021-04-26
"50-54",262948,84142,32,9187,3.5,93329,2021-04-26
"55-59",285387,120201,42.1,9268,3.2,129469,2021-04-26
"60-64",271707,149896,55.2,9905,3.6,159801,2021-04-26
"65-69",217596,160498,73.8,7414,3.4,167912,2021-04-26
"70-74",166506,128708,77.3,19136,11.5,147844,2021-04-26
