"DATE","B117","SA351","P1","TOTAL","C_SUM"
"2020-12-15",1,0,0,1,1
"2020-12-16",0,0,0,0,1
"2020-12-17",1,0,0,1,2
"2020-12-18",0,0,0,0,2
"2020-12-19",0,0,0,0,2
"2020-12-20",0,0,0,0,2
"2020-12-21",1,0,0,1,3
"2020-12-22",1,0,0,1,4
"2020-12-23",1,0,0,1,5
"2020-12-24",1,0,0,1,6
"2020-12-25",0,0,0,0,6
"2020-12-26",1,0,0,1,7
"2020-12-27",0,0,0,0,7
"2020-12-28",0,0,0,0,7
"2020-12-29",0,0,0,0,7
"2020-12-30",0,0,0,0,7
"2020-12-31",0,0,0,0,7
"2021-01-01",4,0,0,4,11
"2021-01-02",1,0,0,1,12
"2021-01-03",1,1,0,2,14
"2021-01-04",1,0,0,1,15
"2021-01-05",1,0,0,1,16
"2021-01-06",1,0,0,1,17
"2021-01-07",2,1,0,3,20
"2021-01-08",1,0,0,1,21
"2021-01-09",3,0,0,3,24
"2021-01-10",0,0,0,0,24
"2021-01-11",0,0,0,0,24
"2021-01-12",2,0,0,2,26
"2021-01-13",1,0,0,1,27
"2021-01-14",1,0,0,1,28
"2021-01-15",4,1,0,5,33
"2021-01-16",6,0,0,6,39
"2021-01-17",0,1,0,1,40
"2021-01-18",1,1,0,2,42
"2021-01-19",0,0,0,0,42
"2021-01-20",2,1,0,3,45
"2021-01-21",2,0,0,2,47
"2021-01-22",3,0,0,3,50
"2021-01-23",2,0,0,2,52
"2021-01-24",1,0,0,1,53
"2021-01-25",9,1,0,10,63
"2021-01-26",0,0,0,0,63
"2021-01-27",4,0,0,4,67
"2021-01-28",12,0,0,12,79
"2021-01-29",4,0,0,4,83
"2021-01-30",6,0,0,6,89
"2021-01-31",5,0,0,5,94
"2021-02-01",7,1,0,8,102
"2021-02-02",11,0,0,11,113
"2021-02-03",7,3,0,10,123
"2021-02-04",15,0,0,15,138
"2021-02-05",22,0,0,22,160
"2021-02-06",7,0,0,7,167
"2021-02-07",5,0,0,5,172
"2021-02-08",2,0,0,2,174
"2021-02-09",13,0,0,13,187
"2021-02-10",16,0,0,16,203
"2021-02-11",10,0,0,10,213
"2021-02-12",25,0,0,25,238
"2021-02-13",8,0,0,8,246
"2021-02-14",4,0,0,4,250
"2021-02-15",7,0,0,7,257
"2021-02-16",10,0,0,10,267
"2021-02-17",8,0,0,8,275
"2021-02-18",7,0,0,7,282
"2021-02-19",15,0,0,15,297
"2021-02-20",19,0,0,19,316
"2021-02-21",11,0,0,11,327
"2021-02-22",19,0,0,19,346
"2021-02-23",24,0,0,24,370
"2021-02-24",21,0,0,21,391
"2021-02-25",32,0,0,32,423
"2021-02-26",31,1,0,32,455
"2021-02-27",16,0,0,16,471
"2021-02-28",34,1,0,35,506
"2021-03-01",14,0,0,14,520
"2021-03-02",32,2,0,34,554
"2021-03-03",26,1,0,27,581
"2021-03-04",36,0,0,36,617
"2021-03-05",29,2,0,31,648
"2021-03-06",46,0,0,46,694
"2021-03-07",32,1,0,33,727
"2021-03-08",34,0,2,36,763
"2021-03-09",47,0,0,47,810
"2021-03-10",73,0,0,73,883
"2021-03-11",58,0,0,58,941
"2021-03-12",66,0,0,66,1007
"2021-03-13",64,0,0,64,1071
"2021-03-14",74,1,1,76,1147
"2021-03-15",70,1,0,71,1218
"2021-03-16",111,0,1,112,1330
"2021-03-17",123,0,1,124,1454
"2021-03-18",192,1,0,193,1647
"2021-03-19",125,0,1,126,1773
"2021-03-20",153,0,0,153,1926
"2021-03-21",172,0,1,173,2099
"2021-03-22",165,0,1,166,2265
"2021-03-23",186,0,4,190,2455
"2021-03-24",238,0,2,240,2695
"2021-03-25",202,0,1,203,2898
"2021-03-26",240,0,0,240,3138
"2021-03-27",267,0,0,267,3405
"2021-03-28",240,0,0,240,3645
"2021-03-29",286,0,0,286,3931
"2021-03-30",427,0,0,427,4358
"2021-03-31",420,0,0,420,4778
"2021-04-01",576,0,0,576,5354
"2021-04-02",578,0,0,578,5932
"2021-04-03",525,0,0,525,6457
"2021-04-04",413,0,0,413,6870
"2021-04-05",116,0,0,116,6986
