"DATE","B117","SA351","P1","TOTAL","C_SUM"
"2020-12-15",1,0,0,1,1
"2020-12-16",0,0,0,0,1
"2020-12-17",1,0,0,1,2
"2020-12-18",0,0,0,0,2
"2020-12-19",0,0,0,0,2
"2020-12-20",0,0,0,0,2
"2020-12-21",1,0,0,1,3
"2020-12-22",1,0,0,1,4
"2020-12-23",1,0,0,1,5
"2020-12-24",1,0,0,1,6
"2020-12-25",0,0,0,0,6
"2020-12-26",1,0,0,1,7
"2020-12-27",0,0,0,0,7
"2020-12-28",0,0,0,0,7
"2020-12-29",0,0,0,0,7
"2020-12-30",0,0,0,0,7
"2020-12-31",0,0,0,0,7
"2021-01-01",4,0,0,4,11
"2021-01-02",1,0,0,1,12
"2021-01-03",1,1,0,2,14
"2021-01-04",1,0,0,1,15
"2021-01-05",1,0,0,1,16
"2021-01-06",1,0,0,1,17
"2021-01-07",2,1,0,3,20
"2021-01-08",1,0,0,1,21
"2021-01-09",3,0,0,3,24
"2021-01-10",0,0,0,0,24
"2021-01-11",0,0,0,0,24
"2021-01-12",2,0,0,2,26
"2021-01-13",1,0,0,1,27
"2021-01-14",1,0,0,1,28
"2021-01-15",4,1,0,5,33
"2021-01-16",6,0,0,6,39
"2021-01-17",1,1,0,2,41
"2021-01-18",1,1,0,2,43
"2021-01-19",0,0,0,0,43
"2021-01-20",3,1,0,4,47
"2021-01-21",2,0,0,2,49
"2021-01-22",3,0,0,3,52
"2021-01-23",2,0,0,2,54
"2021-01-24",1,0,0,1,55
"2021-01-25",9,1,0,10,65
"2021-01-26",0,0,0,0,65
"2021-01-27",4,0,0,4,69
"2021-01-28",12,0,0,12,81
"2021-01-29",4,0,0,4,85
"2021-01-30",6,0,0,6,91
"2021-01-31",5,0,0,5,96
"2021-02-01",7,1,0,8,104
"2021-02-02",11,0,0,11,115
"2021-02-03",9,3,0,12,127
"2021-02-04",15,0,0,15,142
"2021-02-05",22,0,0,22,164
"2021-02-06",7,0,0,7,171
"2021-02-07",5,0,0,5,176
"2021-02-08",2,0,0,2,178
"2021-02-09",13,0,0,13,191
"2021-02-10",16,0,0,16,207
"2021-02-11",10,0,0,10,217
"2021-02-12",25,0,0,25,242
"2021-02-13",8,0,0,8,250
"2021-02-14",4,0,0,4,254
"2021-02-15",7,0,0,7,261
"2021-02-16",10,0,0,10,271
"2021-02-17",8,0,0,8,279
"2021-02-18",7,0,0,7,286
"2021-02-19",15,0,0,15,301
"2021-02-20",19,0,0,19,320
"2021-02-21",11,0,0,11,331
"2021-02-22",19,0,0,19,350
"2021-02-23",24,0,0,24,374
"2021-02-24",21,0,0,21,395
"2021-02-25",32,0,0,32,427
"2021-02-26",31,1,0,32,459
"2021-02-27",16,0,0,16,475
"2021-02-28",34,1,0,35,510
"2021-03-01",14,0,0,14,524
"2021-03-02",32,2,0,34,558
"2021-03-03",26,1,0,27,585
"2021-03-04",36,0,0,36,621
"2021-03-05",29,2,0,31,652
"2021-03-06",46,0,0,46,698
"2021-03-07",32,1,0,33,731
"2021-03-08",34,0,0,34,765
"2021-03-09",47,0,0,47,812
"2021-03-10",73,0,0,73,885
"2021-03-11",58,0,0,58,943
"2021-03-12",66,0,0,66,1009
"2021-03-13",64,0,0,64,1073
"2021-03-14",75,1,0,76,1149
"2021-03-15",70,1,0,71,1220
"2021-03-16",111,0,0,111,1331
"2021-03-17",123,0,0,123,1454
"2021-03-18",192,4,0,196,1650
"2021-03-19",126,0,0,126,1776
"2021-03-20",153,0,0,153,1929
"2021-03-21",174,1,0,175,2104
"2021-03-22",165,0,0,165,2269
"2021-03-23",186,0,0,186,2455
"2021-03-24",239,0,1,240,2695
"2021-03-25",204,0,0,204,2899
"2021-03-26",243,0,0,243,3142
"2021-03-27",268,0,0,268,3410
"2021-03-28",242,0,0,242,3652
"2021-03-29",288,0,0,288,3940
"2021-03-30",426,1,0,427,4367
"2021-03-31",420,0,0,420,4787
"2021-04-01",573,1,0,574,5361
"2021-04-02",580,0,0,580,5941
"2021-04-03",522,1,0,523,6464
"2021-04-04",478,0,0,478,6942
"2021-04-05",505,0,0,505,7447
"2021-04-06",787,1,0,788,8235
"2021-04-07",799,1,0,800,9035
"2021-04-08",878,2,0,880,9915
"2021-04-09",746,4,0,750,10665
"2021-04-10",733,2,0,735,11400
"2021-04-11",658,4,0,662,12062
"2021-04-12",648,3,0,651,12713
"2021-04-13",862,1,0,863,13576
"2021-04-14",973,3,0,976,14552
"2021-04-15",1029,1,0,1030,15582
"2021-04-16",968,1,0,969,16551
"2021-04-17",918,4,0,922,17473
"2021-04-18",845,0,0,845,18318
"2021-04-19",851,8,0,859,19177
"2021-04-20",1132,7,0,1139,20316
"2021-04-21",1198,4,0,1202,21518
"2021-04-22",1179,0,0,1179,22697
"2021-04-23",1034,0,0,1034,23731
"2021-04-24",1002,0,0,1002,24733
"2021-04-25",1026,1,0,1027,25760
"2021-04-26",1010,1,0,1011,26771
"2021-04-27",1128,0,0,1128,27899
"2021-04-28",466,0,0,466,28365
